48499; TEOLONG ; TEOLONG; NOT FOUND; CAPS 100 MG x 30; ABT
52573; TALCO MENTOLADO ; TALCO MENTOLADO; NOT FOUND; PO 0.50 % 100 G x 1; SDP

32288; TIRALCOL ; TIRALCOL; NOT FOUND; PO 100 G x 1; SDP

70097; TINTURA ARNICA ; TINTURA ARNICA; NOT FOUND; TINT. 20 ML x 1; SDP

45716; TIRALCOL ; TIRALCOL; NOT FOUND; PO 50 G x 1; SDP

54940; TINTURA IODO ; TINTURA IODO; NOT FOUND; LIQD 20 ML x 1; SDP

59380; TRILAX ; TRILAX; NOT FOUND; CPR BLISTER x 12; SDZ

72917; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; SDZ

71835; TRILAX ; TRILAX; NOT FOUND; CPR x 100; SDZ

72742; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 50 MG x 10; SDZ

72918; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; SDZ

64957; TAR ZOLPIDEM MG ; TAR ZOLPIDEM; NOT FOUND; CPR 10 MG x 20; SDZ

72739; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 50 MG x 30; SDZ

72738; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 25 MG x 30; SDZ

72637; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 25 MG x 60; SDZ

162444; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR REVEST 20 MG x 4; SDZ

162445; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR REVEST 20 MG x 2; SDZ

79615; TENOXICAM MG ; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; SDZ

68588; TARVEXOL ; TARVEXOL; NOT FOUND; F.AMP INFUS 100 MG 16.7 ML x 1; SDZ

64956; TAR ZOLPIDEM MG ; TAR ZOLPIDEM; NOT FOUND; CPR 10 MG x 10; SDZ

71971; TRILAX ; TRILAX; NOT FOUND; CPR x 30; SDZ

64016; TRIXOTENE ; TRIXOTENE; NOT FOUND; F.AMP LIOF 20 MG 1.50 ML x 1; SDZ

57399; TILOXICAN ; TILOXICAN; NOT FOUND; CPR 20 MG x 10; SDZ

72916; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; SDZ

162447; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR REVEST 5 MG x 28; SDZ

72639; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 100 MG x 60; SDZ

72740; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 100 MG x 30; SDZ

64017; TRIXOTENE ; TRIXOTENE; NOT FOUND; F.AMP LIOF 80 MG 6 ML x 1; SDZ

72638; TOPTIL ; TOPTIL; NOT FOUND; CPR REVEST 50 MG x 60; SDZ

69056; TYLECETAMOL ; TYLECETAMOL; NOT FOUND; CPR 750 MG x 200; SDZ

33506; TIRACASPA ; TIRACASPA; NOT FOUND; SOLN 100 ML x 1; SDZ

162446; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR REVEST 20 MG x 1; SDZ

48896; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 250 MG x 20; SNV

48897; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 500 MG x 20; SNV

162945; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 250 MG x 500; SNV

162448; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 500 MG x 500; SNV

78354; THEOLATE ; THEOLATE; NOT FOUND; SPRAY A/SEPT 30 ML x 1; SOB

88001; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 30 ML x 1; SOB

77968; THEOSORIN ; THEOSORIN; NOT FOUND; SOL. NASAL 9 MG 30 ML x 1 (/ML); SOB

77534; THEODERM ; THEODERM; NOT FOUND; POM. 45 G x 1; SOB

87990; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 100 ML x 1; SOB

87998; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 200 ML x 1; SOB

89511; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 500 ML x 1; SOB

52780; TARFLEX ; TARFLEX; NOT FOUND; XAMP 4 % 120 ML x 1; STF

148467; TARFLEX ; TARFLEX; NOT FOUND; XAMP 4 % 200 ML x 1; STF

127474; TONICO SAUDE ; TONICO SAUDE; NOT FOUND; LIQD CARAMEL 400 ML x 1; SUD

127472; TONICO SAUDE ; TONICO SAUDE; NOT FOUND; LIQD FRAMBOE 400 ML x 1; SUD

61110; TONICO SAUDE ; TONICO SAUDE; NOT FOUND; LIQD 400 ML x 1; SUD

112604; TRIPLE OMEGA ; TRIPLE OMEGA; NOT FOUND; CAPS x 60; SUV

76308; TRIPLE OMEGA ; TRIPLE OMEGA; NOT FOUND; CAPS x 120; SUV

53061; TRIVASTAL RETARD ; TRIVASTAL RETARD; NOT FOUND; DRAG RETARD 50 MG x 30; SVR

57822; TRIVASTAL RETARD ; TRIVASTAL RETARD; NOT FOUND; DRAG RETARD 50 MG x 15; SVR

140547; TOPICREM ; TOPICREM; NOT FOUND; LE CO UL HID 200 ML x 1; T0O

140551; TOPICREM ; TOPICREM; NOT FOUND; LE CO UL HID 500 ML x 1; T0O

140545; TOPICREM ; TOPICREM; NOT FOUND; LOC REP SOS 200 ML x 1; T0O

140491; TESTLINE ; TESTLINE; NOT FOUND; K GLICOSIMET x 1; T1L

56074; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 120 MG x 20; TAK

77769; TACHOSIL ; TACHOSIL; NOT FOUND; ESPJ ESTERI x 1; TAK

83465; TECTA ; TECTA; NOT FOUND; CPR GASTROR 40 MG x 30; TAK

83396; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 120 MG x 30; TAK

45758; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 40 MG x 30; TAK

98204; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 120 MG x 10; TAK

48424; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 80 MG x 20; TAK

98205; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 80 MG x 10; TAK

83464; TECTA ; TECTA; NOT FOUND; CPR GASTROR 40 MG x 60; TAK

83397; TEBONIN ; TEBONIN; NOT FOUND; CPR REVEST 80 MG x 30; TAK

60059; TEBONIN ; TEBONIN; NOT FOUND; SOLN ORAL 40 MG 60 ML x 1 (/ML); TAK

75219; TEVAFOLIN ; TEVAFOLIN; NOT FOUND; F.AMP 300 MG 30 ML x 1; TEV

131353; TEVAGRASTIM ; TEVAGRASTIM; NOT FOUND; SER PREENCH 300 Y 0.50 ML x 1; TEV

74017; TEVAMETHO ; TEVAMETHO; NOT FOUND; F.AMP 100 MG 10 ML x 1 (/ML); TEV

74020; TEVAMETHO ; TEVAMETHO; NOT FOUND; F.AMP 25 MG 20 ML x 1 (/ML); TEV

75220; TEVAFOLIN ; TEVAFOLIN; NOT FOUND; F.AMP 50 MG 5 ML x 1; TEV

74493; TEVACARBO ; TEVACARBO; NOT FOUND; F.AMP IV 450 MG 45 ML x 1; TEV

90232; TEVAGRASTIM ; TEVAGRASTIM; NOT FOUND; SER PREENCH 300 Y 0.50 ML x 5; TEV

74494; TEVACARBO ; TEVACARBO; NOT FOUND; F.AMP IV 50 MG 5 ML x 1; TEV

73859; TEVABLEO ; TEVABLEO; NOT FOUND; F.AMP LIOF 15 IU x 1; TEV

74492; TEVACARBO ; TEVACARBO; NOT FOUND; F.AMP IV 150 MG 15 ML x 1; TEV

74023; TEVAETOPO ; TEVAETOPO; NOT FOUND; F.AMP 100 MG 5 ML x 10; TEV

74019; TEVAMETHO ; TEVAMETHO; NOT FOUND; F.AMP 25 MG 2 ML x 1 (/ML); TEV

77646; TRISENOX ; TRISENOX; NOT FOUND; AMP. 1 MG 10 ML x 10 (/ML); TEV

74022; TEVAPACLI ; TEVAPACLI; NOT FOUND; F.AMP 30 MG 5 ML x 1; TEV

66991; TEKADIN ; TEKADIN; NOT FOUND; CPR 150 MG x 20; TKS

66995; TEKADIN ; TEKADIN; NOT FOUND; CPR 300 MG x 10; TKS

70184; TEKADIN ; TEKADIN; NOT FOUND; CPR 150 MG x 500; TKS

66191; TEKASAN ; TEKASAN; NOT FOUND; CPR REVEST 40 MG x 30; TKS

66190; TEKASAN ; TEKASAN; NOT FOUND; CPR REVEST 120 MG x 30; TKS

66998; TEKAFLEX ; TEKAFLEX; NOT FOUND; CPR 50 MG x 20; TKS

66192; TEKASAN ; TEKASAN; NOT FOUND; CPR REVEST 80 MG x 30; TKS

72135; TEKADIN ; TEKADIN; NOT FOUND; CPR REVEST 300 MG x 500; TKS

60644; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 25 MG x 28; TNT

60645; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 14; TNT

60647; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 14 (/50); TNT

77118; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 100 MG x 10; TNT

120491; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); TNT

60648; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 28 (/50); TNT

65264; TORVAL CR ; TORVAL CR; NOT FOUND; CPR L.A.COAT 300 MG x 30; TNT

120490; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 30; TNT

60646; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 28; TNT

77117; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 100 MG x 30; TNT

65265; TORVAL CR ; TORVAL CR; NOT FOUND; CPR L.A.COAT 500 MG x 30; TNT

31982; TRICOFORT ; TRICOFORT; NOT FOUND; AMP CAPILAR 20 ML x 10; TRI

163180; TIARAJU ; TIARAJU; NOT FOUND; CPR VIT B 300 MG x 100; TRJ

163178; TIARAJU ; TIARAJU; NOT FOUND; CAPS LINO OL 1000 MG x 100; TRJ

53001; THERACORT F ; THERACORT F; NOT FOUND; CREME 5 MG 25 G x 1; TSK

85925; TELOSS 5 ; TELOSS 5; NOT FOUND; KIT SH+LOC 240 ML x 1; TSK

85924; TELOSS 5 ; TELOSS 5; NOT FOUND; SHAMPOO 120 ML x 1; TSK

53006; THERATAR ; THERATAR; NOT FOUND; GEL. 17.5 MG 80 G x 1 (/G); TSK

75807; THERACNE ; THERACNE; NOT FOUND; SABAO 80 G x 1; TSK

63543; THERAPSOR ; THERAPSOR; NOT FOUND; POM. 0.05 % 15 G x 1; TSK

71834; THERACORT 40 ; THERACORT 40; NOT FOUND; F.AMP SOLV 40 MG 1 ML x 1; TSK

53429; THERAPSOR ; THERAPSOR; NOT FOUND; SOLN CAPIL 0.05 % 25 ML x 1; TSK

81223; THERACNE ; THERACNE; NOT FOUND; GEL CR HIDRA 25 G x 1; TSK

81452; THERACNE ; THERACNE; NOT FOUND; SABAO LIQD 120 ML x 1; TSK

97420; TELOSS DS ; TELOSS DS; NOT FOUND; SHAMPOO 120 ML x 1; TSK

85926; TELOSS 5 ; TELOSS 5; NOT FOUND; LOCAO 120 ML x 1; TSK

73489; THERACNE ; THERACNE; NOT FOUND; SABAO ESPU 50 ML x 1; TSK

53004; THERASONA ; THERASONA; NOT FOUND; CREME 10 MG 25 G x 1 (/G); TSK

53003; THERACORT 20 ; THERACORT 20; NOT FOUND; F.AMP SOLV 20 MG 2 ML x 1 (/ML); TSK

81183; THERACNE ; THERACNE; NOT FOUND; LOC ADS 120 ML x 1; TSK

53430; THERAPSOR ; THERAPSOR; NOT FOUND; CREME 0.05 % 25 G x 1; TSK

53005; THERASONA ; THERASONA; NOT FOUND; UNGT 10 MG 25 G x 1 (/G); TSK

74456; THERACNE ; THERACNE; NOT FOUND; SABAO 100 G x 1; TSK

52999; THERACORT ; THERACORT; NOT FOUND; CREME 0.25 MG 25 G x 1 (/G); TSK

70894; THERACORT 40 ; THERACORT 40; NOT FOUND; F.AMP SOLV 40 MG 1 ML x 6; TSK

52998; THERACNE ; THERACNE; NOT FOUND; GEL ESFOLIAN 80 G x 1; TSK

66380; TENOFTAL ; TENOFTAL; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); TTB

76217; TRIAXON ; TRIAXON; NOT FOUND; F.IM 1 G 3.50 ML x 50; TTB

70415; TRIAXON ; TRIAXON; NOT FOUND; F.IM 1 G 3.50 ML x 1; TTB

77116; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 500 MG x 30; TTB

76767; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 750 MG x 20; TTB

66383; TRAMALIV ; TRAMALIV; NOT FOUND; AMP. 100 MG 2 ML x 6; TTB

66382; TRAMALIV ; TRAMALIV; NOT FOUND; AMP. 50 MG 1 ML x 6; TTB

76218; TRIAXON ; TRIAXON; NOT FOUND; F.IV S/DIL 500 MG x 50; TTB

66381; TEUTOVIT E ; TEUTOVIT E; NOT FOUND; CAPS 400 MG x 30; TTB

70098; TRIAXON ; TRIAXON; NOT FOUND; F.AMP S/DILU 1 G 10 ML x 50; TTB

52250; TYLIDOL ; TYLIDOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); TTB

43938; TETRACLIN ; TETRACLIN; NOT FOUND; CAPS 500 MG x 100; TTB

78935; TEUFRON ; TEUFRON; NOT FOUND; CPR 2 MG x 30; TTB

159558; TEUPANTOL BABY ; TEUPANTOL BABY; NOT FOUND; CREME 30 G x 1; TTB

64118; TRIAXON ; TRIAXON; NOT FOUND; F.IV 1 G 10 ML x 1; TTB

42731; TETRACLIN ; TETRACLIN; NOT FOUND; CAPS 250 MG x 100; TTB

78934; TEUFRON ; TEUFRON; NOT FOUND; CPR 0.50 MG x 30; TTB

64117; TRIAXON ; TRIAXON; NOT FOUND; F.IV 500 MG 5 ML x 1; TTB

144326; TEUCIPROX ; TEUCIPROX; NOT FOUND; CPR REVEST 500 MG x 14; TTB

144323; TEUCIPROX ; TEUCIPROX; NOT FOUND; CPR REVEST 500 MG x 7; TTB

53432; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 750 MG x 200; TTB

106887; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 40 G x 1; TTB

76578; TRIAXON ; TRIAXON; NOT FOUND; F.IM 250 MG 2 ML x 1; TTB

87138; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; TTB

73248; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 850 MG x 150; TTB

78933; TEUFRON ; TEUFRON; NOT FOUND; CPR 1 MG x 30; TTB

53191; TETRADERM ; TETRADERM; NOT FOUND; CREME 20 G x 1; TTB

87140; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; TTB

66384; TRAMALIV ; TRAMALIV; NOT FOUND; CAPS 50 MG x 10; TTB

57971; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 850 MG x 30; TTB

51449; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 500 MG x 200; TTB

54539; TEUTOMICIN ; TEUTOMICIN; NOT FOUND; POM. 10 G x 1; TTB

76268; TRIAXON ; TRIAXON; NOT FOUND; F.IM 500 MG 2 ML x 1; TTB

51448; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 500 MG x 20; TTB

112262; TEUPANTOL ; TEUPANTOL; NOT FOUND; POM. 50 MG 30 G x 1 (/G); TTB

87141; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; TTB

61296; TERBUTIL ; TERBUTIL; NOT FOUND; AMP. 0.50 MG 1 ML x 50 (/ML); U_Q

57918; TOBRANOM ; TOBRANOM; NOT FOUND; SOLN OFTAL 3 MG 5 ML x 1 (/ML); U_Q

74251; TRIOXINA ; TRIOXINA; NOT FOUND; F.IV SOLV 1 G 10 ML x 50; U_Q

55800; TERMOL ; TERMOL; NOT FOUND; CPR 750 MG x 200; U_Q

59377; TEFLAN ; TEFLAN; NOT FOUND; F.AMP SOLV 20 MG 2 ML x 1; U_Q

67423; TESS ; TESS; NOT FOUND; CPR REVEST x 21; U_Q

58075; TOBRACORT ; TOBRACORT; NOT FOUND; SUSP OFTAL 5 ML x 1; U_Q

59375; TANDRIFLAN ; TANDRIFLAN; NOT FOUND; CPR x 30; U_Q

68020; TEFLAN ; TEFLAN; NOT FOUND; F.AMP SOLV 40 MG 2 ML x 5; U_Q

159559; TANDRIFLAN ; TANDRIFLAN; NOT FOUND; CPR x 100; U_Q

117578; TEIPLAN ; TEIPLAN; NOT FOUND; F.AMP C/DILU 200 MG 3 ML x 1; U_Q

77728; TERTOP ; TERTOP; NOT FOUND; CPR 250 MG x 14; U_Q

73040; TEIPLAN ; TEIPLAN; NOT FOUND; F.AMP C/DILU 400 MG 3 ML x 1; U_Q

115933; TEFLAN ; TEFLAN; NOT FOUND; CPR REVEST 20 MG x 5; U_Q

55801; TERMOL ; TERMOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); U_Q

66793; TEFLAN ; TEFLAN; NOT FOUND; F.AMP 20 MG x 50; U_Q

61295; TERBUTIL ; TERBUTIL; NOT FOUND; AMP. 0.50 MG 1 ML x 6 (/ML); U_Q

66470; TOPCOID ; TOPCOID; NOT FOUND; GEL. 0.50 % 40 G x 1; U_Q

59422; TINORAL ; TINORAL; NOT FOUND; CPR REVEST 500 MG x 4; U_Q

77114; TEFLAN ; TEFLAN; NOT FOUND; F.AMP 40 MG x 50; U_Q

77727; TERTOP ; TERTOP; NOT FOUND; CPR 250 MG x 28; U_Q

52716; TRIOXINA ; TRIOXINA; NOT FOUND; F.IM SOLV. 1 G 3.50 ML x 1; U_Q

59376; TEFLAN ; TEFLAN; NOT FOUND; CPR REVEST 20 MG x 10; U_Q

57916; TOBRACORT ; TOBRACORT; NOT FOUND; POM. OFTAL 3.50 G x 1; U_Q

58650; TROPINOM ; TROPINOM; NOT FOUND; COLIRIO 5 ML x 1; U_Q

76625; TANDRIFLAN ; TANDRIFLAN; NOT FOUND; CPR x 15; U_Q

66455; TRINIZOL-M ; TRINIZOL M; NOT FOUND; CR.VAG.7 APL 40 G x 1; UCI

70630; TRENTOFIL ; TRENTOFIL; NOT FOUND; CPR.RE.LP 400 MG x 200; UCI

69238; TRISOMATOL ; TRISOMATOL; NOT FOUND; CPR 25 MG x 20; UCI

10317; THIABENA ; THIABENA; NOT FOUND; POM. 15 G x 1; UCI

10315; THIABEN ; THIABEN; NOT FOUND; CPR 500 MG x 6; UCI

89060; THIABENA POMADA ; THIABENA POMADA; NOT FOUND; POM. 1 G 45 G x 1; UCI

70896; TRISOMATOL ; TRISOMATOL; NOT FOUND; CPR 25 MG x 200; UCI

69239; TRISOMATOL ; TRISOMATOL; NOT FOUND; CPR 75 MG x 20; UCI

48578; TIABIOSE ; TIABIOSE; NOT FOUND; CREME 45 G x 1; UCI

10316; THIABEN ; THIABEN; NOT FOUND; LIQD 250 MG 40 ML x 1 (/5ML); UCI

65517; TRENTOFIL ; TRENTOFIL; NOT FOUND; CPR.RE.LP 400 MG x 20; UCI

49079; TRINIZOL-M ; TRINIZOL M; NOT FOUND; CR.VAG.C/APL 80 G x 1; UCI

59993; TRACOZOL ; TRACOZOL; NOT FOUND; CAPS 100 MG x 4; VAP

59994; TRACOZOL ; TRACOZOL; NOT FOUND; CAPS 100 MG x 15; VAP

57675; TENOLON ; TENOLON; NOT FOUND; CPR 100 MG x 28; VAP

102150; TENOLON ; TENOLON; NOT FOUND; CPR 25 MG x 504; VAP

57674; TENOLON ; TENOLON; NOT FOUND; CPR 50 MG x 28; VAP

72011; TENOLON ; TENOLON; NOT FOUND; CPR 50 MG x 504; VAP

77115; TENOLON ; TENOLON; NOT FOUND; CPR 25 MG x 28; VAP

137352; TINTURA DE IODO ; TINTURA IODO; NOT FOUND; LIQUIDO 2 % 1 L x 1; VC_

132072; TINTURA BENJOIN ; TINTURA BENJOIN; NOT FOUND; LIQD 2 % 1 L x 1; VC_

68348; THERMAL FIX ; THERMAL FIX; NOT FOUND; CREME OLHOS 15 ML x 1; VCY

68347; THERMAL FIX ; THERMAL FIX; NOT FOUND; CREME R UV 50 ML x 1; VCY

52571; TAL E QUAL ; TAL E QUAL; NOT FOUND; PO 50 G x 1; VEP

70908; TAL E QUAL ; TAL E QUAL; NOT FOUND; PO 133 G x 1; VEP

52572; TAL E QUAL ; TAL E QUAL; NOT FOUND; PO 100 G x 1; VEP

67504; TAL E QUAL ; TAL E QUAL; NOT FOUND; POTE 500 G x 1; VEP

70907; TAL E QUAL ; TAL E QUAL; NOT FOUND; PO 66 G x 1; VEP

52952; TASMAR ; TASMAR; NOT FOUND; CPR BLISTER 100 MG x 30; VLT

161228; TINTURA DE IODO ; TINTURA IODO; NOT FOUND; LIQD 2 % 30 ML x 1; WIF

131095; TRES COCOS ; TRES COCOS; NOT FOUND; CAPS 1000 MG x 60; WRC

68590; TECNOMAX ; TECNOMAX; NOT FOUND; F.AMP LIOF 50 MG x 1; ZD1

56241; TECNOCRIS ; TECNOCRIS; NOT FOUND; F.AMP LIOF 1 MG 1 ML x 1; ZD1

61223; TECNOTECAN ; TECNOTECAN; NOT FOUND; F.AMP LIOF 40 MG 2 ML x 1; ZD1

64595; TAMSULON ; TAMSULON; NOT FOUND; CAPS L.P. 0.40 MG x 30; ZD1

50390; TECNOVORIN ; TECNOVORIN; NOT FOUND; F.AMP 50 MG 20 ML x 1; ZD1

60963; TECNOMET ; TECNOMET; NOT FOUND; CPR 2.50 MG x 50; ZD1

160510; TRIDEVIT ; TRIDEVIT; NOT FOUND; GOTAS 5 Y 10 ML x 1; ZD1

54122; TECNOCARB ; TECNOCARB; NOT FOUND; F.AMP LIOF 150 MG x 1; ZD1

160512; TRIDEVIT ; TRIDEVIT; NOT FOUND; CPR MAST 5 Y x 60; ZD1

62129; TECNOMET ; TECNOMET; NOT FOUND; CPR 2.50 MG x 20; ZD1

160513; TRIDEVIT ; TRIDEVIT; NOT FOUND; CPR MAST 5 Y x 120; ZD1

64596; TAMSULON ; TAMSULON; NOT FOUND; CAPS L.P. 0.40 MG x 20; ZD1

49066; TECNOTAX ; TECNOTAX; NOT FOUND; CPR 10 MG x 30; ZD1

58974; TECNOTECAN ; TECNOTECAN; NOT FOUND; F.AMP LIOF 100 MG x 1; ZD1

160511; TRIDEVIT ; TRIDEVIT; NOT FOUND; GOTAS 5 Y 20 ML x 1; ZD1

54146; TECNOPLATIN ; TECNOPLATIN; NOT FOUND; F.INFUS.LIOF 10 MG x 1; ZD1

54123; TECNOCARB ; TECNOCARB; NOT FOUND; F.AMP LIOF 450 MG x 1; ZD1

50029; TECNOMICINA ; TECNOMICINA; NOT FOUND; F.AMP SOLV 15 MG x 1; ZD1

54147; TECNOPLATIN ; TECNOPLATIN; NOT FOUND; F.INFUS.LIOF 50 MG x 1; ZD1

49067; TECNOTAX ; TECNOTAX; NOT FOUND; CPR 20 MG x 30; ZD1

78248; TAR ZOLPIDEM MG ; TAR ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; ZYD

90235; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; ZYD

